2025-08-24 03:40:04,024 - INFO - Discovering OSS-Fuzz projects...
2025-08-24 03:40:04,027 - INFO - Discovered project: abseil-cpp (priority: 999, language: c++)
2025-08-24 03:40:04,029 - INFO - Discovered project: abseil-py (priority: 999, language: python)
2025-08-24 03:40:04,031 - INFO - Discovered project: ada-url (priority: 999, language: c++)
2025-08-24 03:40:04,033 - INFO - Discovered project: adal (priority: 999, language: python)
2025-08-24 03:40:04,035 - INFO - Discovered project: aiohttp (priority: 999, language: python)
2025-08-24 03:40:04,037 - INFO - Discovered project: airflow (priority: 999, language: python)
2025-08-24 03:40:04,040 - INFO - Discovered project: alembic (priority: 999, language: c++)
2025-08-24 03:40:04,043 - INFO - Discovered project: ampproject (priority: 999, language: c++)
2025-08-24 03:40:04,045 - INFO - Discovered project: angle (priority: 999, language: c++)
2025-08-24 03:40:04,047 - INFO - Discovered project: angular (priority: 999, language: javascript)
2025-08-24 03:40:04,049 - INFO - Discovered project: angus-mail (priority: 999, language: jvm)
2025-08-24 03:40:04,050 - INFO - Discovered project: aniso8601 (priority: 999, language: python)
2025-08-24 03:40:04,052 - INFO - Discovered project: ansible (priority: 999, language: python)
2025-08-24 03:40:04,054 - INFO - Discovered project: antlr3-java (priority: 999, language: jvm)
2025-08-24 03:40:04,056 - INFO - Discovered project: antlr4-java (priority: 999, language: jvm)
2025-08-24 03:40:04,058 - INFO - Discovered project: apache-axis2 (priority: 999, language: jvm)
2025-08-24 03:40:04,060 - INFO - Discovered project: apache-commons-bcel (priority: 999, language: jvm)
2025-08-24 03:40:04,062 - INFO - Discovered project: apache-commons-beanutils (priority: 999, language: jvm)
2025-08-24 03:40:04,065 - INFO - Discovered project: apache-commons-cli (priority: 999, language: jvm)
2025-08-24 03:40:04,068 - INFO - Discovered project: apache-commons-codec (priority: 999, language: jvm)
2025-08-24 03:40:04,070 - INFO - Discovered project: apache-commons-collections (priority: 999, language: jvm)
2025-08-24 03:40:04,072 - INFO - Discovered project: apache-commons-compress (priority: 999, language: jvm)
2025-08-24 03:40:04,074 - INFO - Discovered project: apache-commons-configuration (priority: 999, language: jvm)
2025-08-24 03:40:04,077 - INFO - Discovered project: apache-commons-csv (priority: 999, language: jvm)
2025-08-24 03:40:04,079 - INFO - Discovered project: apache-commons-fileupload (priority: 999, language: jvm)
2025-08-24 03:40:04,081 - INFO - Discovered project: apache-commons-geometry (priority: 999, language: jvm)
2025-08-24 03:40:04,084 - INFO - Discovered project: apache-commons-imaging (priority: 999, language: jvm)
2025-08-24 03:40:04,087 - INFO - Discovered project: apache-commons-io (priority: 999, language: jvm)
2025-08-24 03:40:04,093 - INFO - Discovered project: apache-commons-jxpath (priority: 999, language: jvm)
2025-08-24 03:40:04,096 - INFO - Discovered project: apache-commons-lang (priority: 999, language: jvm)
2025-08-24 03:40:04,098 - INFO - Discovered project: apache-commons-logging (priority: 999, language: jvm)
2025-08-24 03:40:04,102 - INFO - Discovered project: apache-commons-math (priority: 999, language: jvm)
2025-08-24 03:40:04,106 - INFO - Discovered project: apache-commons-net (priority: 999, language: jvm)
2025-08-24 03:40:04,109 - INFO - Discovered project: apache-commons-text (priority: 999, language: jvm)
2025-08-24 03:40:04,111 - INFO - Discovered project: apache-commons-validator (priority: 999, language: jvm)
2025-08-24 03:40:04,114 - INFO - Discovered project: apache-cxf (priority: 999, language: jvm)
2025-08-24 03:40:04,118 - INFO - Discovered project: apache-doris (priority: 999, language: c++)
2025-08-24 03:40:04,121 - INFO - Discovered project: apache-felix-dev (priority: 999, language: jvm)
2025-08-24 03:40:04,122 - INFO - Discovered project: apache-httpd (priority: 999, language: c)
2025-08-24 03:40:04,125 - INFO - Discovered project: apache-logging-log4cxx (priority: 999, language: c++)
2025-08-24 03:40:04,127 - INFO - Discovered project: apache-poi (priority: 999, language: jvm)
2025-08-24 03:40:04,129 - INFO - Discovered project: aptos-core (priority: 999, language: rust)
2025-08-24 03:40:04,131 - INFO - Discovered project: archaius-core (priority: 999, language: jvm)
2025-08-24 03:40:04,132 - INFO - Discovered project: arduinojson (priority: 999, language: c++)
2025-08-24 03:40:04,134 - INFO - Discovered project: argcomplete (priority: 999, language: python)
2025-08-24 03:40:04,136 - INFO - Discovered project: argo (priority: 999, language: go)
2025-08-24 03:40:04,139 - INFO - Discovered project: args (priority: 999, language: c++)
2025-08-24 03:40:04,142 - INFO - Discovered project: args4j (priority: 999, language: jvm)
2025-08-24 03:40:04,145 - INFO - Discovered project: arrow (priority: 999, language: c++)
2025-08-24 03:40:04,147 - INFO - Discovered project: arrow-java (priority: 999, language: jvm)
2025-08-24 03:40:04,149 - INFO - Discovered project: arrow-py (priority: 999, language: python)
2025-08-24 03:40:04,152 - INFO - Discovered project: askama (priority: 999, language: rust)
2025-08-24 03:40:04,154 - INFO - Discovered project: asn1crypto (priority: 999, language: python)
2025-08-24 03:40:04,156 - INFO - Discovered project: aspectj (priority: 999, language: jvm)
2025-08-24 03:40:04,158 - INFO - Discovered project: aspell (priority: 999, language: c++)
